u,g,r,i,z,redshift,class,snr_r,extinction_r
19.36382109897981,19.46091786944519,19.584009139302655,19.456053818327515,19.658009412631372,0.29341755335259795,Galaxy,12.992804904697604,0.036178240820841485
20.29044320401775,20.205250089636206,19.844603382869693,20.338405033595713,20.22714031838406,1.996765065329827,QSO,12.791106555643253,0.053281751089772456
20.21245394117799,20.470242168845118,20.206240301651757,20.145376321195442,20.248269736145165,2.0594173155352653,QSO,11.576402599540907,0.05842439312111178
19.43958638829802,19.456937165326124,19.670535982945502,19.58054618393099,19.580262085837965,0.09020262879310201,Galaxy,12.54091068976911,0.07376533433838871
19.4224185901112,20.29736867414664,19.78986049706719,19.53154529611861,19.534011161407566,0.5406937481300195,Galaxy,15.880706092306516,0.05716898289119643
19.79326531050663,19.8629238709582,19.382156679194093,19.891387030820017,19.57058691275096,0.0,Galaxy,13.063736512753746,0.10121122175290699
20.001777859064987,19.383317373874952,19.59731983963241,19.664248775851302,19.228070682216853,0.37120764362379133,Galaxy,14.093280337772695,0.03184600395624748
19.722008045552087,19.5627208954779,19.3791180650385,19.59146702764229,19.594423891676875,0.4567395860042871,Galaxy,14.996430037637506,0.032608439084167266
20.9818770061645,19.769273157532968,19.878773250155273,20.27174760537317,19.847014664366938,2.3891419772465685,QSO,12.84597990160823,0.06998333565465613
16.72540553898008,16.427181161146102,16.702121398493087,16.755140688625644,17.124766878160255,0.0,Star,20.376529937611547,0.0747304158758043
20.21515199779584,20.796845407961026,20.300139357495535,20.422066919081704,20.253708339571578,1.8798956900497044,QSO,13.369391379855426,0.03636068381425689
16.429098941465387,16.98125475678251,16.471958588861405,17.381402372680306,17.52879962506763,0.0018605297079614456,Star,20.728624425702673,0.06179753472057306
19.156477316292012,19.36945199255892,19.251479992319698,19.354587712979736,19.40118253877619,0.4159446686848881,Galaxy,13.100752330259365,0.06796868547742732
20.55473053151968,20.32888173732303,20.066798537361898,20.012787568036234,20.15881959704396,1.5696657784872166,QSO,12.360501488421715,0.06820106158933563
19.640934447621927,20.384640187551874,19.65457945027312,20.294490186145534,20.35916610114647,1.74721296914345,QSO,13.848943083707166,0.08455644449867875
19.693361492107663,20.10279625811778,19.882180337228597,20.319198492478858,20.15006257023491,1.8727191231212865,QSO,13.527239392859972,0.060152633467293146
16.792057361356648,17.26382794825416,16.93901094180981,16.28660337021023,16.449799179165446,0.00230824660687991,Star,18.34197023586168,0.1243350890002482
19.923194020307115,19.88251192725851,20.72016207663023,20.472478422780195,19.93354729970443,1.5640873613824893,QSO,12.555636011063909,0.09464613919200716
20.64763483394041,19.843074286149765,20.32858581810141,19.755936201662557,20.20166294476309,1.9398452064384852,QSO,11.28563588549216,0.05578659438076035
16.128678550754056,15.8023394803628,16.985910589644746,17.137877157725022,16.498485276602846,0.0008039957021549842,Star,20.39438244778564,0.0828353448010272
19.67755238061602,20.537436853056384,19.49976377998591,19.274885316061773,19.13196937963451,0.2573217826497046,Galaxy,13.419492684827576,0.08372045955816815
16.088824970272153,17.191337487223294,16.232416124006427,16.579730901408627,16.463920216020508,0.0009448979009577107,Star,29.60005350787671,0.11644164423493343
19.817686801160075,19.548368570181943,19.689675445775247,19.756583510293666,19.512100921666406,0.1268321855061768,Galaxy,13.129705379096444,0.06198852713250947
20.554475663422433,20.213170986868988,19.562486675242035,19.569241040713447,19.683252309341007,0.3261652770508005,Galaxy,12.707643799951972,0.1030201609316172
16.966361016942408,16.675261866421774,16.574473245655952,17.14980089974235,16.986465718927096,0.001164320659381916,Star,25.599880713698354,0.08125563427347433
16.33834142397288,17.399053785761797,16.97686406581068,16.92513389007823,17.22535454827899,0.0007101243845251302,Star,19.134427390929034,0.12474699549346299
17.119691319114427,16.822071562916204,16.47489035179258,17.138797271746053,16.712618977535445,0.0012312820227433647,Star,22.126848235777597,0.11872674357918224
20.877506496304996,19.638339435716023,19.857248498829495,19.824444336346026,20.709788367717938,1.503188377378532,QSO,13.270747264937608,0.08590937913777802
19.925757203056694,19.465594071700977,19.941002026248366,20.4964853209308,20.43985173970548,1.5027192960136495,QSO,11.949803317535512,0.07213152136951818
20.207730969466954,19.6694089483405,19.835210949225857,20.630205485421858,19.996209677460797,1.0668492251458224,QSO,14.84983277806184,0.09519817729038367
16.36355862992356,15.88787539566485,16.638701226929093,17.03079573389195,16.72690108858674,0.0018708227703666388,Star,20.781200223407197,0.07458649918618503
17.765544986402933,16.9329548327097,16.699218232487958,16.807703630766675,17.3549105940176,0.001542858224477596,Star,18.1523262243865,0.13040921317935006
19.70462545960788,20.151475394516382,19.662325179284238,19.5153995015578,19.0968303264926,0.3379167479758589,Galaxy,11.92990453528187,0.08235410234531036
20.26626883595353,20.063401475144335,19.950781032721054,19.59546223872958,19.515495514334194,0.09960336851858045,Galaxy,12.276439299078906,0.06783072102461489
20.022058272777933,19.538640801796706,19.137779651120777,19.869262846657403,19.281789677802262,0.252104428200767,Galaxy,14.312418676482167,0.06621154741778223
16.597951253311972,16.94739737431467,16.94366266155614,16.798530646935095,17.373330461479565,0.00012878392797418582,Star,21.618062782357036,0.04360893244403878
19.910565745701504,19.68024561608951,19.919705552416016,19.62965859473494,19.45858587741554,0.20588854406077767,Galaxy,12.87292434533732,0.09669677384279969
19.603383669537134,19.180061294167203,19.927475085813242,19.527956401522882,19.521298414627484,0.37314276017282366,Galaxy,12.196046010268784,0.055399663920814926
20.01376528816456,19.9285517269938,20.060154232762514,19.95714476286082,20.652654688431966,1.4032653624212728,QSO,13.060742864984615,0.1129444475656324
16.987311341836595,16.24623468517383,16.932763687261218,17.10206604880826,17.007195826813188,0.0019607343075944642,Star,18.82715983293162,0.04121194837995281
16.131197122962075,16.835696099441705,16.798610108332696,16.937369425054214,16.921982594375706,0.0,Star,17.04974497621439,0.08381724346919751
16.07092015505824,17.073527845800193,17.09871041576998,16.991926159408244,16.996839239227974,0.0010326952252532708,Star,19.732549763397778,0.1145067127549236
17.297573810467117,16.38415191682262,16.649776576872927,16.330037269037305,17.09229721581849,0.001272862518025773,Star,25.140920040689206,0.015432588061290914
19.92866004846354,20.017041644436084,20.521654965402035,20.222737464989304,20.151557150356002,2.3827552514069947,QSO,12.740017807336146,0.1405479663137656
16.731198193485646,16.563337617688017,17.047125939562854,16.817256454531602,16.961089953612937,0.0,Star,18.397880497253073,0.06724144408405672
16.155035411206633,17.176924923931168,16.676298938338583,16.373330730746385,17.00935751139784,0.0,Star,21.521918836727,0.08423286146486418
19.798444745595457,20.18648589769065,20.02210952359586,20.206509451317974,20.10453000216635,0.8443172773743649,QSO,11.819597523244358,0.09714347676549032
20.048640525248388,19.31078451097428,19.319728280755612,19.79748136688423,19.310455293275165,0.270512604535396,Galaxy,14.178542418251535,0.10178387168346661
20.019593149630765,19.9209334148235,19.500267239698072,19.204521939977614,19.335898583746502,0.4276543640716822,Galaxy,12.633314610321579,0.08821651814779047
20.011631435742057,19.73463087889369,19.648682274548463,20.300753701865748,19.587016662115136,1.1375924441967,QSO,13.210855164264057,0.10992153751119103
19.9677859571413,19.941871898053407,19.23238246015927,19.473450747493565,19.513860982744486,0.22364872128894883,Galaxy,14.564244152237697,0.09557212138765438
19.670247116769243,19.71661220877439,19.93627853799435,20.792602935353656,20.557927704164165,2.2949336012775743,QSO,12.926945837012976,0.13282643420096912
16.49344500399642,16.78234663905589,16.839308134858026,17.09137109047545,16.569959333882707,0.002777182840257724,Star,23.5805624036025,0.09566982628563792
19.867789548477305,19.07930491141661,19.347715258398864,19.260496182566147,19.584626367250465,0.2025227735048799,Galaxy,11.98696531969719,0.1389390655964926
16.53818820717248,16.99463702341152,16.351008393029,16.372161722083543,17.320355882510167,0.0027060917581276395,Star,23.240586039162405,0.10703236520712968
17.456659040348185,16.737758155520062,16.934344115016813,16.923125744120497,16.818721560952657,0.0018091947318531728,Star,19.023699338873733,0.025827496226952122
19.644884817780284,19.756671778549773,19.73057618715132,19.833324760562082,19.633842301274303,0.3669589228840243,Galaxy,13.40097857730097,0.15833308035163524
16.951759189945133,16.646617113641675,16.79590596246141,16.803894468691396,16.774345376822488,0.0,Star,23.419521575366154,0.06276967674568344
16.69699871650849,16.676206910405458,16.539898423102972,17.284803440370894,16.913967241998357,0.0006933027121740628,Star,22.609302690571774,0.12486632045605206
19.913657022487506,19.712905267731273,20.048757079062014,20.477693386418228,20.45352086258899,1.370403843481479,QSO,11.628781372195103,0.08080380329358315
16.71839759587484,16.915339868438995,17.030046861535276,16.94805304111641,16.760269550542574,0.001660442566548437,Star,20.9657628500253,0.11183270772807738
16.411850938282882,16.88240853950624,17.33555052062164,16.52079869763589,17.340154375212713,0.001092354038254458,Star,20.406978268490228,0.05934563267402618
20.28108032261446,19.360710497791484,19.582287334808484,20.05626591184599,18.918374211898943,0.24623743591881977,Galaxy,13.05479712701083,0.09877233629268764
16.466350623719677,16.38892094036918,16.47712643990437,16.705330256389125,16.784859722287674,0.0004139483600244414,Star,21.15668800851039,0.07240428363816784
19.325926167787074,19.77380261073083,19.464647392828176,19.09529242354596,19.431773810773304,0.20779847444673805,Galaxy,12.06844525472651,0.12737009334769667
19.411352490794815,19.424971305716028,19.531741175391037,19.46539565541944,19.588809923112784,0.3191547030061853,Galaxy,12.972496570317888,0.09316004502251028
19.118888555242677,19.51326816601099,20.084794727248617,19.155491268338675,19.341944041203845,0.3139902425456516,Galaxy,11.895145152151818,0.10807827923904699
20.37932388230255,20.556515546431168,20.02716033424629,19.747864964309652,20.652334683504385,1.4275173207664984,QSO,11.923501742131469,0.0150776938558079
16.08972547066483,16.732244330451937,17.318698602265712,16.985095183413144,16.932845607834125,0.0,Star,21.08729949309426,0.07743281960634124
19.62935800677636,19.365107150492122,20.31706681319554,19.78463847172842,19.103314081229946,0.07678638436757926,Galaxy,12.762589028155093,0.09231654905174888
16.464386769639777,16.40401863853143,16.42673823634174,17.291886071656872,16.887059923107728,0.0020437433977204943,Star,25.741416561425105,0.08670844719319122
20.17703744835992,19.949549098870783,19.51197907268081,19.716186051798598,19.305776938289515,0.1671604504986669,Galaxy,14.607269973323143,0.10883471641153553
20.391784857540877,19.252176121430136,19.977911755864124,19.227889276184662,19.02375215288061,0.5231846427451707,Galaxy,11.939383710743252,0.06902287264587637
19.860590009858942,20.195316690394915,19.849166433116263,19.339113992543513,19.851032693267825,2.2793895655284073,QSO,12.509082408563698,0.08146361315103892
17.188596789197263,17.418439743681063,17.338311016380107,16.98169730881667,16.485415290590907,0.0029164448767354106,Star,18.594068809744144,0.11543680293244976
16.558604692773617,16.883577581350128,16.655162952382607,16.785858632572854,17.161916980027822,0.0012945928425583792,Star,29.77249619733646,0.011639329896639294
19.912469266257393,19.13332486295864,19.834354361567122,20.132260081754563,19.433803178027617,0.29512835155849254,Galaxy,11.284016355927857,0.09768051504915023
16.86023711512988,16.20553194063767,16.125819433397744,16.766989972974287,17.23625219542095,0.0020155152164829295,Star,27.18363834968298,0.0699834552201934
20.137574756621344,19.0315829829888,19.578400422268064,19.396749632284095,19.35777585799009,0.34055723406071303,Galaxy,11.622086743494462,0.052630456263391356
17.120017837879583,16.76208864012293,16.687547561130717,16.69786841587153,16.977942357041652,0.0,Star,25.23387499234347,0.0900963267282794
20.528822088537137,19.346195878750287,19.71091177769174,19.555518264671395,19.16243294688605,0.15571875660789963,Galaxy,13.68979515873526,0.11682353890425967
16.460509971100628,17.081226123848776,16.825086323223168,17.19010414362701,16.51408199947489,0.0016643536742399312,Star,26.855286511932427,0.11117431494452543
